"HolderAddress","Balance","PendingBalanceUpdate"
"0x013864e41b5f50ffbf177cb1999b10fe7028e805","51.0667351","No"
"0x013a26c9390730156fc413265b04ea33e23a32dc","228","No"
"0x0140aa811b05d437f70cd74b35cb1a93b4be719d","5.10621576","No"
"0x0142609d3510a76677fa5bcf3e39d34e6f7e3172","2671","No"
"0x0144ec406385dd8aaecec29de51e9afcf2c39aba","58.19892073","No"
"0x01456f6a8c13bdaf9a8dcdac2226fbf7dfd52e24","0.72147872","No"
"0x01457ef1e07dc46d4d104528e6b01e0a543f1d76","31.11","No"
"0x014b6cdb4b0f6e719fb41c85eebb1836d2dfc6a7","0.3403","No"
"0x014d383fba9992a7a420ae16398fc34909c4aab3","183.43096914","No"
"0x014e9aff403d09b23d27dd250e3d886a8066818c","42.145","No"
"0x014f88a5facd5b7735427f39df66511bec055eca","1.25488097000001","No"
"0x0159e7e2fd6db9838cf3aa3f8f668c68b91a12ed","197.4","No"
"0x015d25370758bf61483299cba6168e029890e511","123.852053794605","No"
"0x015f3bafbafbe15c1f6783a8093916397e9250c6","6.144E-15","No"
"0x0160afff7a7a824429a8202995d03239d2d418fa","275.849914","No"
"0x0164b194330781946566c70d7e22c77432cb1ee5","48.7","No"
"0x0164e6ef4643fcde0ad4449fb2b220cef255a7f7","0.91357134","No"
"0x016974d5cba2cf81e903bb4a492d8db0bdeefbbb","13.3283073","No"
"0x016d7960bd6054c1f19079f3b741ff34b0b91ebf","6.14649576","No"
"0x016e36e5cab8967471b42f5129733673150f4c86","9.999998976E-09","No"
"0x016f5bdeb5d994b9dedc210e6014630d1ef50f31","15.92339116","No"
"0x01704865b3404391ea00137c4bb00855515df802","560.276210741513","No"
"0x017148da0cdec5c3f88c33462ce605420643247a","157.91448679","No"
"0x0171e2689744b65d3f0d4bef137227973daeb32f","10.05","No"
"0x01744d906e3a1360918da92f621aab9fccf41770","695.04269171","No"
"0x017c3697bbcb7bb243195d75e5eddc0f8ed6f515","259.96251013","No"
"0x017ffdecc42803a9f4fa66f302aed04319468d69","0.82634019","No"
"0x018361f95a17a325ae458d4cb508b5b25baaad8b","109.24759547","No"
"0x01852ace51b8253fdc79cbdb26e6dac11e03d592","3.57449423E-10","No"
"0x0185e6d4fee1ba8bdd42b5604321e0f0dfc1c8a4","78.7","No"
"0x018747f371e136c8171ecffaa63385e956cec25a","0.83417268","No"
"0x01927124fabc3445b514816df755cdccd923ddb4","1.94449336E-10","No"
